filename	ATTRIBUTE_Lab	ATTRIBUTE_Type	ATTRIBUTE_Mix
DOM_Interlab-LCMS_Lab1_PPL_blank_Pos_MS2.mzML	1	Blank	B
DOM_Interlab-LCMS_Lab1_A_Pos_MS2_rep2.mzML	1	Sample	A
DOM_Interlab-LCMS_Lab1_A_Pos_MS2_rep1.mzML	1	Sample	A
DOM_Interlab-LCMS_Lab1_A_Pos_MS2_rep3.mzML	1	Sample	A
DOM_Interlab-LCMS_Lab1_A45M_Pos_MS2_rep1.mzML	1	Sample	A45M
DOM_Interlab-LCMS_Lab1_A5M_Pos_MS2_rep1.mzML	1	Sample	A5M
DOM_Interlab-LCMS_Lab1_A45M_Pos_MS2_rep2.mzML	1	Sample	A45M
DOM_Interlab-LCMS_Lab1_A5M_Pos_MS2_rep2.mzML	1	Sample	A5M
DOM_Interlab-LCMS_Lab1_M_Pos_MS2_rep1.mzML	1	Sample	M
DOM_Interlab-LCMS_Lab1_A15M_Pos_MS2_rep1.mzML	1	Sample	A15M
DOM_Interlab-LCMS_Lab1_A15M_Pos_MS2_rep2.mzML	1	Sample	A15M
DOM_Interlab-LCMS_Lab1_A5M_Pos_MS2_rep3.mzML	1	Sample	A5M
DOM_Interlab-LCMS_Lab1_A45M_Pos_MS2_rep3.mzML	1	Sample	A45M
DOM_Interlab-LCMS_Lab1_A15M_Pos_MS2_rep3.mzML	1	Sample	A15M
DOM_Interlab-LCMS_Lab1_M_Pos_MS2_rep3.mzML	1	Sample	M
DOM_Interlab-LCMS_Lab1_M_Pos_MS2_rep2.mzML	1	Sample	M
Interlab-LC-MS_Lab2_PPL_Pos_MS2_Rep1.mzML	2	Blank	B
Interlab-LC-MS_Lab2_A_Pos_MS2_Rep2.mzML	2	Sample	A
Interlab-LC-MS_Lab2_A15M_Pos_MS2_Rep2.mzML	2	Sample	A15M
Interlab-LC-MS_Lab2_M_Pos_MS2_Rep1.mzML	2	Sample	M
Interlab-LC-MS_Lab2_A_Pos_MS2_Rep1.mzML	2	Sample	A
Interlab-LC-MS_Lab2_A_Pos_MS2_Rep3.mzML	2	Sample	A
Interlab-LC-MS_Lab2_A15M_Pos_MS2_Rep3.mzML	2	Sample	A15M
Interlab-LC-MS_Lab2_A5M_Pos_MS2_Rep2.mzML	2	Sample	A5M
Interlab-LC-MS_Lab2_A5M_Pos_MS2_Rep3.mzML	2	Sample	A5M
Interlab-LC-MS_Lab2_A15M_Pos_MS2_Rep1.mzML	2	Sample	A15M
Interlab-LC-MS_Lab2_A45M_Pos_MS2_Rep2.mzML	2	Sample	A45M
Interlab-LC-MS_Lab2_A5M_Pos_MS2_Rep1.mzML	2	Sample	A5M
Interlab-LC-MS_Lab2_A45M_Pos_MS2_Rep1.mzML	2	Sample	A45M
Interlab-LC-MS_Lab2_M_Pos_MS2_Rep2.mzML	2	Sample	M
Interlab-LC-MS_Lab2_A45M_Pos_MS2_Rep3.mzML	2	Sample	A45M
Interlab-LC-MS_Lab2_M_Pos_MS2_Rep3.mzML	2	Sample	M
DOM_Interlab-LCMS_Lab005_PPLblank_Pos_MS2.mzML	5	Blank	B
DOM_Interlab-LCMS_Lab005_A_Pos_MS2_rep3.mzML	5	Sample	A
DOM_Interlab-LCMS_Lab005_A45M_Pos_MS2_rep1.mzML	5	Sample	A45M
DOM_Interlab-LCMS_Lab005_A15M_Pos_MS2_rep1.mzML	5	Sample	A15M
DOM_Interlab-LCMS_Lab005_A_Pos_MS2_rep1.mzML	5	Sample	A
DOM_Interlab-LCMS_Lab005_A_Pos_MS2_rep2.mzML	5	Sample	A
DOM_Interlab-LCMS_Lab005_A45M_Pos_MS2_rep2.mzML	5	Sample	A45M
DOM_Interlab-LCMS_Lab005_M_Pos_MS2_rep1.mzML	5	Sample	M
DOM_Interlab-LCMS_Lab005_A15M_Pos_MS2_rep2.mzML	5	Sample	A15M
DOM_Interlab-LCMS_Lab005_A5M_Pos_MS2_rep1.mzML	5	Sample	A5M
DOM_Interlab-LCMS_Lab005_A15M_Pos_MS2_rep3.mzML	5	Sample	A15M
DOM_Interlab-LCMS_Lab005_A5M_Pos_MS2_rep2.mzML	5	Sample	A5M
DOM_Interlab-LCMS_Lab005_A45M_Pos_MS2_rep3.mzML	5	Sample	A45M
